lga_code,lda_name,year,population
22490,Golden Plains,2018,23722
22620,Greater Bendigo,2018,118093
22670,Greater Dandenong,2018,168201
22750,Greater Geelong,2018,258934
22830,Greater Shepparton,2018,66498
22910,Hepburn,2018,15975
22980,Hindmarsh,2018,5588
23110,Hobsons Bay,2018,97751
23190,Horsham,2018,19921
23270,Hume,2018,233471
23350,Indigo,2018,16701
23430,Kingston,2018,165782
23670,Knox,2018,164538
23810,Latrobe,2018,75561
23940,Loddon,2018,7504
24130,Macedon Ranges,2018,50231
24210,Manningham,2018,127573
24250,Mansfield,2018,9176
24330,Maribyrnong,2018,93448
24410,Maroondah,2018,118558
24600,Melbourne,2018,178955
24650,Melton,2018,164895
24780,Mildura,2018,55777
24850,Mitchell,2018,46082
24900,Moira,2018,29925
24970,Monash,2018,202847
25060,Moonee Valley,2018,130294
25150,Moorabool,2018,35049
25250,Moreland,2018,185767
25340,Mornington Peninsula,2018,167636
25430,Mount Alexander,2018,19754
25490,Moyne,2018,16953
25620,Murrindindi,2018,14570
25710,Nillumbik,2018,65094
25810,Northern Grampians,2018,11402
25900,Port Phillip,2018,115601
25990,Pyrenees,2018,7472
26080,Queenscliffe,2018,2940
26170,South Gippsland,2018,29914
26260,Southern Grampians,2018,16100
26350,Stonnington,2018,117768
26430,Strathbogie,2018,10781
26490,Surf Coast,2018,33456
26610,Swan Hill,2018,20649
26670,Towong,2018,6040
26700,Wangaratta,2018,29187
26730,Warrnambool,2018,35181
26810,Wellington,2018,44380
26890,West Wimmera,2018,3841
26980,Whitehorse,2018,178739
27070,Whittlesea,2018,230238
27170,Wodonga,2018,42083
27260,Wyndham,2018,270487
27350,Yarra,2018,101495
27450,Yarra Ranges,2018,159462
27630,Yarriambiack,2018,6639
29399,Unincorporated Vic,2018,881
30250,Aurukun,2018,1418
30300,Balonne,2018,4360
30370,Banana,2018,14156
30410,Barcaldine,2018,2849
30450,Barcoo,2018,266
30760,Blackall-Tambo,2018,1868
30900,Boulia,2018,423
31000,Brisbane,2018,1253982
31750,Bulloo,2018,325
31820,Bundaberg,2018,95856
31900,Burdekin,2018,16971
31950,Burke,2018,354
32080,Cairns,2018,166862
32250,Carpentaria,2018,1977
32260,Cassowary Coast,2018,29794
32270,Central Highlands,2018,28701
32310,Charters Towers,2018,11739
32330,Cherbourg,2018,1331
32450,Cloncurry,2018,3047
32500,Cook,2018,4549
32600,Croydon,2018,284
32750,Diamantina,2018,291
32770,Doomadgee,2018,1526
32810,Douglas,2018,12367
33100,Etheridge,2018,793
33200,Flinders,2018,1505
33220,Fraser Coast,2018,106712
33360,Gladstone,2018,63412
33430,Gold Coast,2018,620518
33610,Goondiwindi,2018,10799
33620,Gympie,2018,52446
33800,Hinchinbrook,2018,10687
33830,Hope Vale,2018,1117
33960,Ipswich,2018,222307
33980,Isaac,2018,20886
34420,Kowanyama,2018,990
34530,Livingstone,2018,38078
34570,Lockhart River,2018,800
34580,Lockyer Valley,2018,41731
34590,Logan,2018,334358
34710,Longreach,2018,3470
34770,Mackay,2018,116763
34800,McKinlay,2018,818
34830,Mapoon,2018,333
34860,Maranoa,2018,12665
34880,Mareeba,2018,22730
35010,Moreton Bay,2018,469465
35250,Mornington,2018,1230
35300,Mount Isa,2018,18595
35600,Murweh,2018,4295
35670,Napranum,2018,1077
35740,Noosa,2018,55873
35760,North Burnett,2018,10599
35780,Northern Peninsula Area,2018,3163
35790,Palm Island,2018,2671
35800,Paroo,2018,1562
36070,Pormpuraaw,2018,845
36150,Quilpie,2018,778
36250,Redland,2018,158815
36300,Richmond,2018,810
36370,Rockhampton,2018,81512
36510,Scenic Rim,2018,43123
36580,Somerset,2018,26219
36630,South Burnett,2018,32521
36660,Southern Downs,2018,35452
36720,Sunshine Coast,2018,328428
36820,Tablelands,2018,25575
36910,Toowoomba,2018,169008
36950,Torres,2018,3887
36960,Torres Strait Island,2018,5104
37010,Townsville,2018,195032
37300,Weipa,2018,4333
37310,Western Downs,2018,34585
37340,Whitsunday,2018,35357
37400,Winton,2018,1153
37550,Woorabinda,2018,1016
37570,Wujal Wujal,2018,312
37600,Yarrabah,2018,2901
40070,Adelaide,2018,25456
40120,Adelaide Hills,2018,39977
40150,Adelaide Plains,2018,9137
40220,Alexandrina,2018,27427
40250,Anangu Pitjantjatjara,2018,2573
40310,Barossa,2018,25021
40430,Barunga West,2018,2563
40520,Berri and Barmera,2018,10842
40700,Burnside,2018,45816
40910,Campbelltown,2018,52192
41010,Ceduna,2018,3442
41060,Charles Sturt,2018,118943
41140,Clare and Gilbert Valleys,2018,9424
41190,Cleve,2018,1792
41330,Coober Pedy,2018,1834
41560,Copper Coast,2018,15010
41750,Elliston,2018,1008
41830,Flinders Ranges,2018,1692
41960,Franklin Harbour,2018,1304
42030,Gawler,2018,24416
42110,Goyder,2018,4190
42250,Grant,2018,8584
42600,Holdfast Bay,2018,37435
42750,Kangaroo Island,2018,4983
43080,Karoonda East Murray,2018,1107
43220,Kimba,2018,1065
43360,Kingston,2018,2371
43650,Light,2018,15359
43710,Lower Eyre Peninsula,2018,5780
43790,Loxton Waikerie,2018,11743
44000,Maralinga Tjarutja,2018,64
44060,Marion,2018,93448
44210,Mid Murray,2018,9094
44340,Mitcham,2018,67474
44550,Mount Barker,2018,36571
44620,Mount Gambier,2018,27275
44830,Mount Remarkable,2018,2909
45040,Murray Bridge,2018,22495
